date,gold_price,gold_price_3y,gold_price_5y,gold_price_price_floor,gold_price_floor_spot_3y,gold_price_floor_spot_5y,silver_price,silver_price_3y,silver_price_5y,silver_price_price_floor,silver_price_floor_spot_3y,silver_price_floor_spot_5y,zinc_price,zinc_price_3y,zinc_price_5y,zinc_price_price_floor,zinc_price_floor_spot_3y,zinc_price_floor_spot_5y,copper_price,copper_price_3y,copper_price_5y,copper_price_price_floor,copper_price_floor_spot_3y,copper_price_floor_spot_5y,lead_price,lead_price_3y,lead_price_5y,lead_price_price_floor,lead_price_floor_spot_3y,lead_price_floor_spot_5y,cad_usd,cad_usd_3y,cad_usd_5y,cad_usd_price_floor,cad_usd_floor_spot_3y,cad_usd_floor_spot_5y
2006-01-01,569.8,414.34444444444443,367.14166666666665,367.14166666666665,414.34444444444443,367.14166666666665,9.91,6.482222222222223,5.688999999999999,5.688999999999999,6.482222222222223,5.688999999999999,2091.75,1121.8721458097375,1002.0945368855143,1002.0945368855143,1121.8721458097375,1002.0945368855143,4743.85714285714,2859.040175911891,2341.2368494361813,2341.2368494361813,2859.040175911891,2341.2368494361813,1258.14285714286,812.759263691591,672.8141721167295,672.8141721167295,812.759263691591,672.8141721167295,1.1572,1.2940694444444445,1.4009999999999998,1.1572,1.1572,1.1572
2006-02-01,556.5,420.1458333333333,372.0,372.0,420.1458333333333,372.0,9.7,6.623888888888889,5.776833333333332,5.776833333333332,6.623888888888889,5.776833333333332,2219.725,1161.7079791430706,1022.0636202188477,1022.0636202188477,1161.7079791430706,1022.0636202188477,4974.975,2950.507675911891,2394.717682769515,2394.717682769515,2950.507675911891,2394.717682769515,1267.4375,834.7849581360354,685.5762971167295,685.5762971167295,834.7849581360354,685.5762971167295,1.1489,1.2839805555555555,1.3947883333333335,1.1489,1.1489,1.1489
2006-03-01,584.0,427.05277777777775,377.41583333333335,377.41583333333335,427.05277777777775,377.41583333333335,11.76,6.826666666666666,5.900666666666667,5.900666666666667,6.826666666666666,5.900666666666667,2427.64565217391,1207.1896705394358,1045.764002300534,1045.764002300534,1207.1896705394358,1045.764002300534,5123.67391304348,3046.8404830202417,2451.0762631384214,2451.0762631384214,3046.8404830202417,2451.0762631384214,1193.89130434783,855.3177853732105,697.1603946134359,697.1603946134359,855.3177853732105,697.1603946134359,1.1573,1.275125,1.3880983333333332,1.1573,1.1573,1.1573
2006-04-01,638.25,435.4486111111111,383.6625,383.6625,435.4486111111111,383.6625,12.56,7.0475,6.037166666666667,6.037166666666667,7.0475,6.037166666666667,3068.33888888889,1271.4011674530163,1080.734002300534,1080.734002300534,1271.4011674530163,1080.734002300534,6404.44444444444,3180.634287032587,2530.0508001754583,2530.0508001754583,3180.634287032587,2530.0508001754583,1170.55555555556,875.6665508053094,708.7098390578805,708.7098390578805,875.6665508053094,708.7098390578805,1.1441,1.2664,1.3812033333333333,1.1441,1.1441,1.1441
2006-05-01,654.0,443.45416666666665,390.1275,390.1275,443.45416666666665,390.1275,13.13,7.285555555555557,6.182166666666666,6.182166666666666,7.285555555555557,6.182166666666666,3544.64285714286,1348.3051357069844,1124.1786848402166,1124.1786848402166,1348.3051357069844,1124.1786848402166,8059.19047619048,3358.6368002601002,2636.289808111966,2636.289808111966,3358.6368002601002,2636.289808111966,1167.5,895.2547452497538,720.4002358832771,720.4002358832771,895.2547452497538,720.4002358832771,1.11,1.258788888888889,1.3740183333333333,1.11,1.11,1.11
2006-06-01,600.4,450.5444444444444,395.6358333333333,395.6358333333333,450.5444444444444,395.6358333333333,10.7,7.4575000000000005,6.288166666666667,6.288166666666667,7.4575000000000005,6.288166666666667,3197.59090909091,1415.1648038166527,1162.523057134589,1162.523057134589,1415.1648038166527,1162.523057134589,7222.77272727273,3512.4608442716444,2729.828202772861,2729.828202772861,3512.4608442716444,2729.828202772861,963.613636363636,909.0313806513892,729.0482409337822,729.0482409337822,909.0313806513892,729.0482409337822,1.1137,1.2521555555555555,1.3671716666666667,1.1137,1.1137,1.1137
2006-07-01,637.0,458.3569444444444,401.82666666666665,401.82666666666665,458.3569444444444,401.82666666666665,11.44,7.634166666666666,6.4085,6.4085,7.634166666666666,6.4085,3320.7380952381,1484.3940625008026,1203.6469496309817,1203.6469496309817,1484.3940625008026,1203.6469496309817,7726.7380952381,3679.5139556127997,2833.160996784405,2833.160996784405,3679.5139556127997,2833.160996784405,1053.2619047619,924.0292958802826,738.9000302555716,738.9000302555716,924.0292958802826,738.9000302555716,1.1294,1.245136111111111,1.3604816666666666,1.1294,1.1294,1.1294
2006-08-01,621.75,465.3222222222222,407.6,407.6,465.3222222222222,407.6,12.6,7.842222222222223,6.5485,6.5485,7.842222222222223,6.5485,3339.96590909091,1554.5265877533282,1245.4791844794663,1245.4791844794663,1554.5265877533282,1245.4791844794663,7690.25,3844.334094501688,2936.8916407237994,2936.8916407237994,3844.334094501688,2936.8916407237994,1179.31818181818,943.0726481530097,750.49487874042,750.49487874042,943.0726481530097,750.49487874042,1.1182,1.237411111111111,1.3534533333333334,1.1182,1.1182,1.1182
2006-09-01,601.75,471.3569444444444,412.78166666666664,412.78166666666664,471.3569444444444,412.78166666666664,11.55,8.020833333333334,6.6645,6.6645,8.020833333333334,6.6645,3394.05952380952,1626.0582285662188,1288.7216765429584,1288.7216765429584,1626.0582285662188,1288.7216765429584,7622.64285714286,4006.36110568495,3040.1407322024957,3040.1407322024957,4006.36110568495,3040.1407322024957,1346.52857142857,966.0050705916822,765.1902715975627,765.1902715975627,966.0050705916822,765.1902715975627,1.1161,1.2305416666666666,1.3459233333333331,1.1161,1.1161,1.1161
2006-10-01,600.9,477.3652777777778,418.1141666666666,418.1141666666666,477.3652777777778,418.1141666666666,12.08,8.213611111111112,6.7945,6.7945,8.213611111111112,6.7945,3829.60227272727,1707.4338351757929,1339.8527289144997,1339.8527289144997,1707.4338351757929,1339.8527289144997,7497.40909090909,4161.134063524212,3142.141282268372,3142.141282268372,4161.134063524212,3142.141282268372,1525.65909090909,992.0668569333599,782.8082129677867,782.8082129677867,992.0668569333599,782.8082129677867,1.1285,1.225163888888889,1.3385366666666665,1.1285,1.1285,1.1285
